Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
ETH/BTC 	23357.85 	23357.85
QTUM/ETH 	464.78 	23822.63
EOS/ETH 	4977.40 	28800.02
SNT/ETH 	1406.46 	30206.48
BNT/ETH 	229.65 	30436.13
BNB/ETH 	2053.49 	32489.62
ETH/USDT 	8.78 	32498.39
OAX/ETH 	83.18 	32581.57
DNT/ETH 	85.98 	32667.55
MCO/ETH 	133.14 	32800.70
ICN/ETH 	66.87 	32867.56
WTC/ETH 	181.50 	33049.06
LRC/ETH 	209.02 	33258.08
OMG/ETH 	953.11 	34211.19
ZRX/ETH 	718.52 	34929.72
STRAT/ETH 	176.85 	35106.56
SNGLS/ETH 	59.83 	35166.39
BQX/ETH 	90.32 	35256.72
KNC/ETH 	309.88 	35566.60
FUN/ETH 	173.74 	35740.34
SNM/ETH 	429.37 	36169.72
NEO/ETH 	1644.17 	37813.89
IOTA/ETH 	568.25 	38382.14
LINK/ETH 	153.18 	38535.32
XVG/ETH 	386.99 	38922.31
SALT/ETH 	124.16 	39046.47
MDA/ETH 	65.48 	39111.95
MTL/ETH 	115.73 	39227.67
SUB/ETH 	75.77 	39303.44
ETC/ETH 	278.43 	39581.87
MTH/ETH 	151.99 	39733.86
ENG/ETH 	258.95 	39992.81
ZEC/ETH 	1123.31 	41116.12
AST/ETH 	158.39 	41274.51
DASH/ETH 	289.64 	41564.15
BTG/ETH 	131.52 	41695.67
EVX/ETH 	74.09 	41769.76
REQ/ETH 	767.85 	42537.60
VIB/ETH 	82.99 	42620.59
HSR/ETH 	125.99 	42746.58
TRX/ETH 	2509.08 	45255.66
POWR/ETH 	97.33 	45352.99
ARK/ETH 	119.64 	45472.63
YOYOW/ETH 	77.11 	45549.74
XRP/ETH 	1286.15 	46835.88
MOD/ETH 	78.52 	46914.40
ENJ/ETH 	123.32 	47037.72
STORJ/ETH 	92.21 	47129.93
VEN/ETH 	937.68 	48067.60
KMD/ETH 	102.59 	48170.19
RCN/ETH 	59.56 	48229.75
NULS/ETH 	609.03 	48838.78
RDN/ETH 	97.79 	48936.57
XMR/ETH 	291.36 	49227.92
DLT/ETH 	77.80 	49305.72
AMB/ETH 	140.56 	49446.28
BCH/ETH 	846.80 	50293.08
BAT/ETH 	163.32 	50456.40
BCPT/ETH 	112.68 	50569.08
ARN/ETH 	204.49 	50773.56
GVT/ETH 	104.62 	50878.18
CDT/ETH 	100.06 	50978.24
GXS/ETH 	174.43 	51152.67
